1800,31.4860199005
1801,31.4489054726
1802,31.4634825871
1803,31.3774129353
1804,31.446318408
1805,31.5625373134
1806,31.6159701493
1807,31.5731343284
1808,31.3767661692
1809,31.3104477612
1810,31.5217412935
1811,31.4818905473
1812,31.4727363184
1813,31.4672139303
1814,31.516318408
1815,31.6474129353
1816,31.6275124378
1817,31.7215422886
1818,31.5747263682
1819,31.4886069652
1820,31.5607960199
1821,31.6205970149
1822,31.7220895522
1823,31.7706467662
1824,31.7090049751
1825,31.6668159204
1826,31.5973134328
1827,31.6335820896
1828,31.5778606965
1829,31.5599502488
1830,31.6400995025
1831,31.6047761194
1832,31.5692039801
1833,31.5643283582
1834,31.5519900498
1835,31.6744278607
1836,31.6406965174
1837,31.5806467662
1838,31.6412935323
1839,31.6317412935
1840,31.7142288557
1841,31.72960199
1842,31.7341791045
1843,31.7191044776
1844,31.7781094527
1845,31.8254726368
1846,31.5471641791
1847,31.6190049751
1848,31.6167164179
1849,31.4660696517
1850,31.635721393
1851,31.7729850746
1852,31.7858208955
1853,31.7846268657
1854,31.5730845771
1855,31.7047263682
1856,31.7162686567
1857,31.7182587065
1858,31.7235323383
1859,31.6931343284
1860,31.765721393
1861,31.734278607
1862,31.6705970149
1863,31.7215422886
1864,31.6547761194
1865,31.6153731343
1866,31.5011442786
1867,31.5095024876
1868,31.2527860697
1869,31.5517910448
1870,31.7739800995
1871,31.7106965174
1872,31.781840796
1873,31.8507960199
1874,31.8951243781
1875,31.7756218905
1876,31.9545771144
1877,32.0205970149
1878,31.9670646766
1879,32.1254228856
1880,32.1160199005
1881,32.1629850746
1882,32.1030348259
1883,32.237960199
1884,32.3671144279
1885,32.4176119403
1886,32.4632835821
1887,32.5045771144
1888,32.5300497512
1889,32.5111442786
1890,32.2910447761
1891,32.4753731343
1892,32.4784079602
1893,32.5330845771
1894,32.7472139303
1895,32.811840796
1896,32.8952238806
1897,32.964278607
1898,32.994079602
1899,32.9629850746
1900,33.0133830846
1901,33.1802487562
1902,33.2556716418
1903,33.2674626866
1904,33.3110447761
1905,33.3481094527
1906,33.456119403
1907,33.5661691542
1908,33.6671641791
1909,33.8987562189
1910,34.0350248756
1911,34.137960199
1912,34.3343781095
1913,34.3425870647
1914,34.0806965174
1915,33.716318408
1916,33.8141293532
1917,33.6622885572
1918,22.2921393035
1919,33.769800995
1920,33.9753233831
1921,34.4300497512
1922,34.7747263682
1923,35.4787562189
1924,35.7689552239
1925,35.9439303483
1926,36.3537810945
1927,36.5507960199
1928,36.8810945274
1929,36.9285572139
1930,37.4089552239
1931,37.4176616915
1932,37.44039801
1933,37.270199005
1934,38.7236318408
1935,39.1146268657
1936,39.5972636816
1937,39.9186069652
1938,40.4429353234
1939,40.9128358209
1940,40.9008955224
1941,39.6094029851
1942,39.4972636816
1943,39.3374129353
1944,39.1249751244
1945,40.9452238806
1946,44.3164179104
1947,44.8786069652
1948,46.9487064677
1949,48.0638308458
1950,49.2597524752
1951,49.5085148515
1952,50.1559405941
1953,50.8228712871
1954,51.5106435644
1955,52.1041584158
1956,52.6541584158
1957,53.1305445545
1958,53.7424257426
1959,54.1874752475
1960,54.7328217822
1961,55.242029703
1962,55.6958415842
1963,56.215049505
1964,56.7374257426
1965,57.1350990099
1966,57.5725247525
1967,58.0176237624
1968,58.3904455446
1969,58.7591584158
1970,59.2385643564
1971,59.6797524752
1972,60.1042574257
1973,60.4839108911
1974,60.8716336634
1975,61.1996534653
1976,61.6116831683
1977,62.0310891089
1978,62.42
1979,62.8302970297
1980,63.2204455446
1981,63.6577722772
1982,64.0836138614
1983,64.4456435644
1984,64.8144554455
1985,65.1316831683
1986,65.5457920792
1987,65.8680693069
1988,66.1444059406
1989,66.4024752475
1990,66.7846153846
1991,66.8446634615
1992,67.026875
1993,67.0925
1994,67.0061057692
1995,67.22
1996,67.4124038462
1997,67.6235406699
1998,67.7623444976
1999,67.9348803828
2000,68.0777033493
2001,68.4379425837
2002,68.6532535885
2003,68.9355502392
2004,69.1842105263
2005,69.5240191388
2006,69.8501904762
2007,70.1397115385
2008,70.4471634615
2009,70.7677403846
2010,70.9699038462
2011,71.324375
2012,71.6630769231
2013,71.9161057692
2014,72.088125
2015,72.3210096154
2016,72.5566346154
