City,Edition,Sport,Discipline,Athlete,NOC,Gender,Event,Event_gender,Medal
St Louis,1904,Aquatics,Diving,"BRAUNSCHWEIGER, Alfred",GER,Men,10m platform,M,Bronze
St Louis,1904,Aquatics,Diving,"KEHOE, Frank",USA,Men,10m platform,M,Bronze
St Louis,1904,Aquatics,Diving,"SHELDON, George",USA,Men,10m platform,M,Gold
St Louis,1904,Aquatics,Diving,"HOFFMANN, Georg",GER,Men,10m platform,M,Silver
St Louis,1904,Aquatics,Diving,"GOODWIN, Leo Budd",USA,Men,plunge for distance,M,Bronze
St Louis,1904,Aquatics,Diving,"DICKEY, William Paul",USA,Men,plunge for distance,M,Gold
St Louis,1904,Aquatics,Diving,"ADAMS, Edgar H.",USA,Men,plunge for distance,M,Silver
St Louis,1904,Aquatics,Swimming,"ZACHARIAS, Georg",GER,Men,100m backstroke,M,Bronze
St Louis,1904,Aquatics,Swimming,"BRACK, Walter",GER,Men,100m backstroke,M,Gold
St Louis,1904,Aquatics,Swimming,"HOFFMANN, Georg",GER,Men,100m backstroke,M,Silver
St Louis,1904,Aquatics,Swimming,"LEARY, J. Scott",USA,Men,100m freestyle,M,Bronze
St Louis,1904,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,100m freestyle,M,Gold
St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,100m freestyle,M,Silver
St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,1500m freestyle,M,Bronze
St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,1500m freestyle,M,Gold
St Louis,1904,Aquatics,Swimming,"KISS, Geza",HUN,Men,1500m freestyle,M,Silver
St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,200m freestyle,M,Bronze
St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,200m freestyle,M,Gold
St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,200m freestyle,M,Silver
St Louis,1904,Aquatics,Swimming,"HANDY, Hehry Jamison",USA,Men,400m breaststroke,M,Bronze
St Louis,1904,Aquatics,Swimming,"ZACHARIAS, Georg",GER,Men,400m breaststroke,M,Gold
St Louis,1904,Aquatics,Swimming,"BRACK, Walter",GER,Men,400m breaststroke,M,Silver
St Louis,1904,Aquatics,Swimming,"WAHLE, Otto",AUT,Men,400m freestyle,M,Bronze
St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,400m freestyle,M,Gold
St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,400m freestyle,M,Silver
St Louis,1904,Aquatics,Swimming,"EVANS, Gwynne",USA,Men,4x50y freestyle relay,M,Bronze
St Louis,1904,Aquatics,Swimming,"ORTHWEIN, William Robert",USA,Men,4x50y freestyle relay,M,Bronze
St Louis,1904,Aquatics,Swimming,"REYBURN, Amadee",USA,Men,4x50y freestyle relay,M,Bronze
St Louis,1904,Aquatics,Swimming,"SCHWARTZ, Marquard",USA,Men,4x50y freestyle relay,M,Bronze
St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,4x50y freestyle relay,M,Gold
St Louis,1904,Aquatics,Swimming,"GOODWIN, Leo Budd",USA,Men,4x50y freestyle relay,M,Gold
St Louis,1904,Aquatics,Swimming,"HANDLEY, Louis De Breda",USA,Men,4x50y freestyle relay,M,Gold
St Louis,1904,Aquatics,Swimming,"RUDDY, Joseph A.",USA,Men,4x50y freestyle relay,M,Gold
St Louis,1904,Aquatics,Swimming,"GOETZ, Hugo",USA,Men,4x50y freestyle relay,M,Silver
St Louis,1904,Aquatics,Swimming,"HAMMOND, David",USA,Men,4x50y freestyle relay,M,Silver
St Louis,1904,Aquatics,Swimming,"THORNE, Raymond",USA,Men,4x50y freestyle relay,M,Silver
St Louis,1904,Aquatics,Swimming,"TUTTLE, William",USA,Men,4x50y freestyle relay,M,Silver
St Louis,1904,Aquatics,Swimming,"DANIELS, Charles",USA,Men,50y freestyle (45.72m),M,Bronze
St Louis,1904,Aquatics,Swimming,"HALMAY, Zoltan",HUN,Men,50y freestyle (45.72m),M,Gold
St Louis,1904,Aquatics,Swimming,"LEARY, J. Scott",USA,Men,50y freestyle (45.72m),M,Silver
St Louis,1904,Aquatics,Swimming,"KISS, Geza",HUN,Men,880y freestyle (804.66m),M,Bronze
St Louis,1904,Aquatics,Swimming,"RAUSCH, Emil",GER,Men,880y freestyle (804.66m),M,Gold
St Louis,1904,Aquatics,Swimming,"GAILEY, Francis",USA,Men,880y freestyle (804.66m),M,Silver
St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,double american round (60y - 50y - 40y),M,Bronze
St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,double american round (60y - 50y - 40y),M,Gold
St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,double american round (60y - 50y - 40y),M,Silver
St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,double columbia round (50y - 40y - 30y),W,Bronze
St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,double columbia round (50y - 40y - 30y),W,Gold
St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,double columbia round (50y - 40y - 30y),W,Silver
St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,double national round (60y - 50y),W,Bronze
St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,double national round (60y - 50y),W,Gold
St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,double national round (60y - 50y),W,Silver
St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,double york round (100y - 80y - 60y),M,Bronze
St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,double york round (100y - 80y - 60y),M,Gold
St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,double york round (100y - 80y - 60y),M,Silver
St Louis,1904,Archery,Archery,"BRYANT, George Philipp",USA,Men,team round 60y,M,Bronze
St Louis,1904,Archery,Archery,"BRYANT, Wallace",USA,Men,team round 60y,M,Bronze
St Louis,1904,Archery,Archery,"DALLIN, Cyrus Edwin",USA,Men,team round 60y,M,Bronze
St Louis,1904,Archery,Archery,"RICHARDSON, Henry Barber",USA,Men,team round 60y,M,Bronze
St Louis,1904,Archery,Archery,"MAXSON, Louis W.",USA,Men,team round 60y,M,Gold
St Louis,1904,Archery,Archery,"SPENCER, Galen Carter",USA,Men,team round 60y,M,Gold
St Louis,1904,Archery,Archery,"THOMPSON, William Henry",USA,Men,team round 60y,M,Gold
St Louis,1904,Archery,Archery,"WILLIAMS, Robert",USA,Men,team round 60y,M,Gold
St Louis,1904,Archery,Archery,"CLARK, William A.",USA,Men,team round 60y,M,Silver
St Louis,1904,Archery,Archery,"DUVALL, Samuel Harding",USA,Men,team round 60y,M,Silver
St Louis,1904,Archery,Archery,"HUBBARD, Charles R.",USA,Men,team round 60y,M,Silver
St Louis,1904,Archery,Archery,"WOODRUFF, Charles S.",USA,Men,team round 60y,M,Silver
St Louis,1904,Archery,Archery,"HOWELL, Matilda Scott",USA,Women,teams FITA round,W,Gold
St Louis,1904,Archery,Archery,"POLLOCK, Jessie",USA,Women,teams FITA round,W,Gold
St Louis,1904,Archery,Archery,"TAYLOR, Louise",USA,Women,teams FITA round,W,Gold
St Louis,1904,Archery,Archery,"WOODRUFF, Laura",USA,Women,teams FITA round,W,Gold
St Louis,1904,Archery,Archery,"COOKE, Emma C.",USA,Women,teams FITA round,W,Silver
St Louis,1904,Archery,Archery,"TAYLOR, Mabel",USA,Women,teams FITA round,W,Silver
St Louis,1904,Athletics,Athletics,"HOGENSON, William",USA,Men,100m,M,Bronze
St Louis,1904,Athletics,Athletics,"HAHN, Archie",USA,Men,100m,M,Gold
St Louis,1904,Athletics,Athletics,"CARTMELL, John Nathaniel",USA,Men,100m,M,Silver
